Gene	ID5_5	transcript Regulated	unknown or postrranslational regulated	Process	Contained in BLAST_curated_JIN_TF.txt
ELI5	Cre04.g211850			Responsible for HL growth in Cyanobacteria, Induced by UV-B	
ELI6				Responsible for HL growth in Cyanobacteria, Induced by UV-B	
ELI2	Cre09.g393173			Responsible for HL growth in Cyanobacteria, Induced by HL	
ELI3	Cre06.g278213			Responsible for HL growth in Cyanobacteria, Induced by HL	
ELI4	Cre05.g247400			Responsible for HL growth in Cyanobacteria, Induced by HL	
ELI9				Responsible for HL growth in Cyanobacteria, Induced by HL	
ELI10				Responsible for HL growth in Cyanobacteria, Induced by HL	
COP1	Cre01.g002500			E3 - Ligase responsible for ELIP induction also forming a (cullin-based RING-type ubiquitin E3 ligase complex type 4 (CRL4)	
PSBS1	Cre01.g016600	(CrCO), NF-YB, NF-YC	UVR8, DET1, DDB1, COP1, CUL4	Increases qE, associated with PSII	
PSBS2	Cre01.g016750	(CrCO), NF-YB, NF-YC	UVR8, DET1, DDB1, COP1, CUL4	Increases qE, associated with PSII	
CUL4	Cre12.g516500			Ring shaped putative E-3 ligase together with DDB1 and Det1 (cullin-based RING-type ubiquitin E3 ligase complex type 4 (CRL4))	
DDB1	Cre10.g432000			Adapter protein between Cul4 E-3 ligase and Det1 or  (complex called CRL4)	
DET1	Cre13.g571560			Subunit of CRL4 (putative Cullin based E3-ligase) responsible for substrate recognition. Enhancing LHCSR3 and 1 transcription. Proposed to act via U-ligase acitivity and Independently	
Cr_UBC17	Cre06.g292800			Orthologue of mamallian E2 enzyme UBE2E that is reported to enhance CRL4 activity there	
SPA1	Cre13.g602700			Scaffold protein with Ser/Threonin kinase domain forms a heterotetramer for substrate recognition in A.th. (CRL4)	
CRCO/ Constans	Cre06.g278159			Putative Transcription factro regulating NPQ genes target of SPA/COP1 substrate recognition complex.	x
ROC75	Cre02.g083750		Cry, Unkown red light receptor	Circadian Transcription factor responsible regulating LHCSR3 transcription. Attenuating(Dämpfen)	x
pCry	Cre06.g295200			plant likeCryptochrome Blue light receptor postively regulating ROC75 transcriptions	
aCry	Cre06.g278251			animal like Cry	
NF-YB	Cre02.g079200			Transcription factor complexing with CONSTANS to bind phtoprotective genes -> enhancing transcription	x
NF-YC	Cre12.g556400			Transcription factor complexing with CONSTANS to bind phtoprotective genes -> enhancing transcription	x
CIA5/CCM1	Cre02.g096300			Master Regulator of low CO2 response	
CAS	Cre12.g497300			Thylakoid Ca2+ binding Protein, 	
COP5	Cre02.g074150				
COP6	Cre11.g467678				
COP7	Cre01.g038050				
COP8	Cre07.g329900				
COP9	Cre15.g643503				
COP10	Cre17.g733150				
CRY-DASH1	Cre02.g078939				
PHR5/ CRY-DASH2	Cre01.g030650				
